STATE,COUNTY,TRACT,BLOCK,GEOID,ORIGINAL_COUNT_OF_HUs,CURRENT_COUNT_OF_HUs,LOCAL_COUNT_OF_HUs,DIFFERENCE_IN_HUs,ORIGINAL_COUNT_OF_GQs,CURRENT_COUNT_OF_GQs,LOCAL_COUNT_OF_GQs,DIFFERENCE_IN_GQs
27,131,0701.00,1047,271310701001047,82,82,0,82,0,0,0,0
27,131,0701.00,1057,271310701001057,2,2,0,2,0,0,0,0
27,131,0701.00,1089,271310701001089,11,11,0,11,0,0,0,0
27,131,0701.00,1090,271310701001090,9,9,0,9,0,0,0,0
27,131,0701.00,1091,271310701001091,5,5,0,5,0,0,0,0
27,131,0701.00,1092,271310701001092,0,0,0,0,0,0,0,0
27,131,0701.00,2021,271310701002021,25,25,0,25,0,0,0,0
27,131,0701.00,2062,271310701002062,1,1,0,1,0,0,0,0
27,131,0701.00,3005,271310701003005,33,33,0,33,0,0,0,0
27,131,0701.00,3006,271310701003006,24,24,0,24,0,0,0,0
27,131,0701.00,3007,271310701003007,0,0,0,0,0,0,0,0
27,131,0701.00,3008,271310701003008,31,31,0,31,0,0,0,0
27,131,0701.00,3009,271310701003009,11,11,0,11,0,0,0,0
27,131,0701.00,3010,271310701003010,13,13,0,13,0,0,0,0
27,131,0701.00,3011,271310701003011,28,28,0,28,0,0,0,0
27,131,0701.00,3012,271310701003012,2,2,0,2,0,0,0,0
27,131,0701.00,3013,271310701003013,0,0,0,0,0,0,0,0
27,131,0701.00,3014,271310701003014,22,22,0,22,0,0,0,0
27,131,0701.00,3015,271310701003015,22,22,0,22,0,0,0,0
27,131,0701.00,3016,271310701003016,24,24,0,24,0,0,0,0
27,131,0701.00,3017,271310701003017,7,7,0,7,0,0,0,0
27,131,0701.00,3018,271310701003018,25,25,0,25,0,0,0,0
27,131,0701.00,3019,271310701003019,6,6,0,6,0,0,0,0
27,131,0701.00,3020,271310701003020,0,0,0,0,0,0,0,0
27,131,0701.00,3021,271310701003021,0,0,0,0,0,0,0,0
27,131,0701.00,3022,271310701003022,2,2,0,2,0,0,0,0
27,131,0701.00,3023,271310701003023,10,10,0,10,0,0,0,0
27,131,0701.00,3024,271310701003024,5,5,0,5,0,0,0,0
27,131,0701.00,3025,271310701003025,5,5,0,5,0,0,0,0
27,131,0701.00,3026,271310701003026,8,8,0,8,0,0,0,0
27,131,0701.00,3027,271310701003027,23,23,0,23,0,0,0,0
27,131,0701.00,3028,271310701003028,13,13,0,13,0,0,0,0
27,131,0701.00,3029,271310701003029,7,7,0,7,0,0,0,0
27,131,0701.00,3030,271310701003030,37,37,0,37,0,0,0,0
27,131,0701.00,3031,271310701003031,5,5,0,5,0,0,0,0
27,131,0701.00,3032,271310701003032,5,5,0,5,0,0,0,0
27,131,0701.00,3033,271310701003033,7,7,0,7,0,0,0,0
27,131,0701.00,3034,271310701003034,7,7,0,7,0,0,0,0
27,131,0701.00,3035,271310701003035,6,6,0,6,0,0,0,0
27,131,0701.00,3036,271310701003036,27,27,0,27,0,0,0,0
27,131,0701.00,3037,271310701003037,7,7,0,7,0,0,0,0
27,131,0701.00,3038,271310701003038,41,41,0,41,0,0,0,0
27,131,0701.00,3039,271310701003039,69,69,0,69,0,0,0,0
27,131,0701.00,3040,271310701003040,0,0,0,0,0,0,0,0
27,131,0701.00,3041,271310701003041,12,12,0,12,0,0,0,0
27,131,0701.00,3042,271310701003042,5,5,0,5,0,0,0,0
27,131,0701.00,3043,271310701003043,11,11,0,11,0,0,0,0
27,131,0701.00,3044,271310701003044,0,0,0,0,0,0,0,0
27,131,0701.00,3045,271310701003045,3,3,0,3,0,0,0,0
27,131,0701.00,3046,271310701003046,4,4,0,4,0,0,0,0
27,131,0701.00,3047,271310701003047,4,4,0,4,0,0,0,0
27,131,0701.00,3048,271310701003048,3,3,0,3,0,0,0,0
27,131,0701.00,3049,271310701003049,4,4,0,4,0,0,0,0
27,131,0701.00,3051,271310701003051,1,1,0,1,0,0,0,0
27,131,0701.00,3052,271310701003052,8,8,0,8,0,0,0,0
27,131,0701.00,3053,271310701003053,7,7,0,7,0,0,0,0
27,131,0701.00,3055,271310701003055,2,2,0,2,0,0,0,0
27,131,0701.00,3056,271310701003056,9,9,0,9,0,0,0,0
27,131,0701.00,3057,271310701003057,11,11,0,11,0,0,0,0
27,131,0701.00,3058,271310701003058,9,9,0,9,0,0,0,0
27,131,0701.00,3061,271310701003061,10,10,0,10,0,0,0,0
27,131,0701.00,3062,271310701003062,3,3,0,3,0,0,0,0
27,131,0701.00,3063,271310701003063,14,14,0,14,0,0,0,0
27,131,0701.00,3064,271310701003064,7,7,0,7,0,0,0,0
27,131,0701.00,3065,271310701003065,14,14,0,14,0,0,0,0
27,131,0701.00,3066,271310701003066,8,8,0,8,0,0,0,0
27,131,0701.00,3067,271310701003067,23,23,0,23,1,1,0,1
27,131,0701.00,3068,271310701003068,40,40,0,40,0,0,0,0
27,131,0701.00,3069,271310701003069,12,12,0,12,0,0,0,0
27,131,0701.00,3070,271310701003070,16,16,0,16,0,0,0,0
27,131,0701.00,3071,271310701003071,9,9,0,9,0,0,0,0
27,131,0701.00,3072,271310701003072,15,15,0,15,0,0,0,0
27,131,0701.00,3073,271310701003073,24,24,0,24,0,0,0,0
27,131,0701.00,3074,271310701003074,113,113,0,113,0,0,0,0
27,131,0701.00,3075,271310701003075,5,5,0,5,0,0,0,0
27,131,0701.00,3076,271310701003076,4,4,0,4,0,0,0,0
27,131,0701.00,3077,271310701003077,4,4,0,4,0,0,0,0
27,131,0701.00,3078,271310701003078,5,5,0,5,0,0,0,0
27,131,0701.00,3079,271310701003079,4,4,0,4,0,0,0,0
27,131,0701.00,3080,271310701003080,3,3,0,3,0,0,0,0
27,131,0701.00,3081,271310701003081,5,5,0,5,0,0,0,0
27,131,0701.00,3082,271310701003082,5,5,0,5,0,0,0,0
27,131,0701.00,3083,271310701003083,72,72,0,72,0,0,0,0
27,131,0701.00,3084,271310701003084,8,8,0,8,0,0,0,0
27,131,0701.00,3085,271310701003085,0,0,0,0,0,0,0,0
27,131,0701.00,3086,271310701003086,17,17,0,17,0,0,0,0
27,131,0701.00,3087,271310701003087,0,0,0,0,0,0,0,0
27,131,0701.00,3088,271310701003088,4,4,0,4,0,0,0,0
27,131,0701.00,3089,271310701003089,0,0,0,0,0,0,0,0
27,131,0701.00,3090,271310701003090,0,0,0,0,0,0,0,0
27,131,0701.00,3091,271310701003091,0,0,0,0,0,0,0,0
27,131,0701.00,3092,271310701003092,0,0,0,0,0,0,0,0
27,131,0701.00,3093,271310701003093,28,28,0,28,0,0,0,0
27,131,0701.00,3094,271310701003094,1,1,0,1,0,0,0,0
27,131,0701.00,3095,271310701003095,58,58,0,58,0,0,0,0
27,131,0701.00,3096,271310701003096,0,0,0,0,0,0,0,0
27,131,0701.00,3097,271310701003097,32,32,0,32,0,0,0,0
27,131,0701.00,3098,271310701003098,11,11,0,11,0,0,0,0
27,131,0701.00,3099,271310701003099,17,17,0,17,0,0,0,0
27,131,0701.00,3100,271310701003100,5,5,0,5,0,0,0,0
27,131,0701.00,3101,271310701003101,16,16,0,16,0,0,0,0
27,131,0701.00,3104,271310701003104,0,0,0,0,0,0,0,0
27,131,0701.00,3106,271310701003106,6,6,0,6,0,0,0,0
27,131,0701.00,3107,271310701003107,37,37,0,37,0,0,0,0
27,131,0701.00,3108,271310701003108,0,0,0,0,0,0,0,0
27,131,0701.00,3109,271310701003109,0,0,0,0,0,0,0,0
27,131,0701.00,3110,271310701003110,3,3,0,3,0,0,0,0
27,131,0701.00,3111,271310701003111,9,9,0,9,0,0,0,0
27,131,0701.00,3112,271310701003112,9,9,0,9,0,0,0,0
27,131,0701.00,3113,271310701003113,11,11,0,11,0,0,0,0
27,131,0701.00,3114,271310701003114,5,5,0,5,0,0,0,0
27,131,0701.00,3115,271310701003115,7,7,0,7,0,0,0,0
27,131,0701.00,3116,271310701003116,16,16,0,16,0,0,0,0
27,131,0701.00,3117,271310701003117,18,18,0,18,0,0,0,0
27,131,0701.00,3118,271310701003118,3,3,0,3,0,0,0,0
27,131,0701.00,3119,271310701003119,6,6,0,6,0,0,0,0
27,131,0701.00,3120,271310701003120,9,9,0,9,0,0,0,0
27,131,0701.00,3121,271310701003121,1,1,0,1,0,0,0,0
27,131,0701.00,3122,271310701003122,2,2,0,2,0,0,0,0
27,131,0701.00,3123,271310701003123,1,1,0,1,0,0,0,0
,,,,Unable to Geocode,0,0,0,0,0,0,0,0
,,,,TOTAL,1515,1515,0,1515,1,1,0,1
