第139表　特定被災地方公共団体等における決算の状況（つづき）,,,,,,,
"その2　特定被災市町村等（つづき）

※特定被災市町村等…「東日本大震災に対処するための特別の財政援助及び助成に関する法律第二条第二項及び第三項の市町村を定める政令」（平成23年政令第127号）の別表第1に定める特定被災地方公共団体である市町村並びに同令の別表第2及び別表第3に定める市町村のうち特定被災地方公共団体以外のものをいう。",,,,,,,
（3）　歳　　出（性質別内訳）,,,,,（単位　百万円・％）,,
区　　　　分,平成29年度,,平成28年度,,比　　　　較,,（参考）全国比較
,決算額,構成比,決算額,構成比,増減額,増減率,増減率
義務的経費,"2,969,807",40.9,"2,863,077",38.1,"106,730",3.7,4.8
投資的経費,"1,399,412",19.3,"1,567,305",20.8,"△ 167,893",△ 10.7,1.0
　うち普通建設事業費,"1,261,824",17.4,"1,398,098",18.6,"△ 136,274",△ 9.7,1.0
　うち災害復旧事業費,"137,588",1.9,"169,208",2.2,"△ 31,620",△ 18.7,△ 0.1
その他の経費,"2,896,817",39.8,"3,090,775",41.1,"△ 193,958",△ 6.3,0.3
　うち積立金,"370,702",5.1,"408,200",5.4,"△ 37,498",△ 9.2,6.6
合計,"7,266,036",100.0,"7,521,157",100.0,"△ 255,121",△ 3.4,2.6
