STATE,COUNTY,TRACT,BLOCK,GEOID,ORIGINAL_COUNT_OF_HUs,CURRENT_COUNT_OF_HUs,LOCAL_COUNT_OF_HUs,DIFFERENCE_IN_HUs,ORIGINAL_COUNT_OF_GQs,CURRENT_COUNT_OF_GQs,LOCAL_COUNT_OF_GQs,DIFFERENCE_IN_GQs
27,099,0014.00,2080,270990014002080,3,3,0,3,0,0,0,0
27,099,0014.00,2081,270990014002081,0,0,0,0,0,0,0,0
27,099,0014.00,2082,270990014002082,0,0,0,0,0,0,0,0
27,099,0014.00,2087,270990014002087,10,10,0,10,0,0,0,0
27,099,0014.00,2088,270990014002088,9,9,0,9,0,0,0,0
27,099,0014.00,2089,270990014002089,0,0,0,0,0,0,0,0
27,099,0014.00,2090,270990014002090,11,11,0,11,0,0,0,0
27,099,0014.00,2091,270990014002091,6,6,0,6,0,0,0,0
27,099,0014.00,2093,270990014002093,8,8,0,8,0,0,0,0
27,099,0014.00,2094,270990014002094,4,4,0,4,0,0,0,0
27,099,0014.00,2095,270990014002095,54,54,0,54,0,0,0,0
27,099,0014.00,2096,270990014002096,33,33,0,33,0,0,0,0
27,099,0014.00,2097,270990014002097,0,0,0,0,0,0,0,0
27,099,0014.00,2098,270990014002098,30,30,0,30,0,0,0,0
27,099,0014.00,2099,270990014002099,0,0,0,0,0,0,0,0
27,099,0014.00,2100,270990014002100,6,6,0,6,0,0,0,0
27,099,0014.00,2131,270990014002131,3,3,0,3,0,0,0,0
27,099,0014.00,2132,270990014002132,36,36,0,36,0,0,0,0
27,099,0014.00,2134,270990014002134,0,0,0,0,0,0,0,0
27,099,0014.00,2136,270990014002136,48,48,0,48,0,0,0,0
27,099,0014.00,2137,270990014002137,9,9,0,9,0,0,0,0
27,099,0014.00,2138,270990014002138,9,9,0,9,0,0,0,0
27,099,0014.00,2139,270990014002139,9,9,0,9,0,0,0,0
27,099,0014.00,2140,270990014002140,12,12,0,12,0,0,0,0
27,099,0014.00,2141,270990014002141,9,9,0,9,0,0,0,0
27,099,0014.00,2142,270990014002142,3,3,0,3,0,0,0,0
27,099,0014.00,2143,270990014002143,5,5,0,5,0,0,0,0
27,099,0014.00,2144,270990014002144,6,6,0,6,0,0,0,0
27,099,0014.00,2145,270990014002145,11,11,0,11,0,0,0,0
27,099,0014.00,2146,270990014002146,9,9,0,9,0,0,0,0
27,099,0014.00,2147,270990014002147,9,9,0,9,0,0,0,0
27,099,0014.00,2148,270990014002148,15,15,0,15,0,0,0,0
27,099,0014.00,2149,270990014002149,27,27,0,27,2,2,0,2
27,099,0014.00,2150,270990014002150,7,7,0,7,0,0,0,0
27,099,0014.00,2151,270990014002151,19,19,0,19,0,0,0,0
27,099,0014.00,2152,270990014002152,11,11,0,11,0,0,0,0
27,099,0014.00,2153,270990014002153,10,10,0,10,0,0,0,0
27,099,0014.00,2154,270990014002154,18,18,0,18,0,0,0,0
27,099,0014.00,2155,270990014002155,9,9,0,9,0,0,0,0
27,099,0014.00,2156,270990014002156,6,6,0,6,0,0,0,0
27,099,0014.00,2157,270990014002157,8,8,0,8,0,0,0,0
27,099,0014.00,2158,270990014002158,9,9,0,9,0,0,0,0
27,099,0014.00,2159,270990014002159,4,4,0,4,0,0,0,0
,,,,Unable to Geocode,0,0,0,0,0,0,0,0
,,,,TOTAL,495,495,0,495,2,2,0,2
