第45図　商工費の性質別内訳,,,
,"純計
5兆5,095億円（100.0％）","都道府県
3兆7,380億円（100.0％）","市町村
1兆8,172億円（100.0％）"
貸付金,4兆838億円（74.1％）,3兆9億円（80.3％）,1兆845億円（59.7％）
補助費等,"5,428億円（9.9％）","3,330億円（8.9％）","2,410億円（13.3％）"
普通建設事業費,"3,034億円（5.5％）","1,712億円（4.6％）","1,450億円（8.0％）"
人件費,"2,369億円（4.3％）",991億円（2.6％）,"1,379億円（7.6％）"
その他,"3,426億円（6.2％）","1,338億円（3.6％）","2,088億円（11.4％）"
