SEXEA;ACTPCAE10A;DIPLOE14AR;ANNEE;ESTIM;BINF;BSUP
2;2;4;3;45.4;41.2;49.6
2;2;4;4;36.4;32.4;40.4
2;2;4;5;32.0;28.1;35.8
2;2;5;1;71.0;68.1;74.0
2;2;5;2;55.4;52.3;58.5
2;2;5;3;45.6;42.5;48.7
2;2;5;4;39.3;36.3;42.3
2;2;5;5;34.3;31.4;37.1
2;2;E;1;73.1;71.4;74.8
2;2;E;2;55.2;53.3;57.1
2;2;E;3;43.9;42.1;45.8
2;2;E;4;37.1;35.2;38.9
2;2;E;5;32.0;30.3;33.7
2;D;1;1;76.8;73.9;79.7
2;D;1;2;58.7;55.1;62.2
2;D;1;3;46.4;42.9;49.9
2;D;1;4;39.7;36.3;43.1
2;D;1;5;34.0;30.7;37.3
2;D;2;1;76.1;73.6;78.7
2;D;2;2;60.3;57.2;63.3
2;D;2;3;49.2;46.1;52.3
2;D;2;4;41.5;38.4;44.6
2;D;2;5;35.3;32.3;38.3
2;D;3;1;74.7;72.3;77.1
2;D;3;2;55.9;53.2;58.7
2;D;3;3;44.2;41.4;46.9
2;D;3;4;38.0;35.3;40.7
2;D;3;5;32.2;29.7;34.8
2;D;4;1;79.3;77.0;81.7
2;D;4;2;63.2;60.3;66.1
2;D;4;3;50.8;47.7;53.9
2;D;4;4;43.1;40.0;46.2
2;D;4;5;38.7;35.6;41.7
2;D;5;1;75.4;73.5;77.4
2;D;5;2;59.6;57.4;61.9
2;D;5;3;49.9;47.7;52.1
2;D;5;4;43.0;40.8;45.2
2;D;5;5;38.0;35.9;40.2
2;D;E;1;76.1;75.0;77.3
2;D;E;2;59.4;58.1;60.7
2;D;E;3;48.4;47.0;49.7
2;D;E;4;41.4;40.1;42.7
2;D;E;5;36.1;34.9;37.4
E;1;1;1;76.9;74.9;78.9
E;1;1;2;58.6;56.1;61.0
E;1;1;3;48.2;45.7;50.7
E;1;1;4;40.7;38.2;43.1
E;1;1;5;34.8;32.4;37.2
E;1;2;1;78.4;76.7;80.2
E;1;2;2;61.1;58.9;63.3
E;1;2;3;49.3;47.0;51.6
E;1;2;4;40.7;38.4;42.9
E;1;2;5;34.9;32.7;37.1
E;1;3;1;74.7;72.6;76.8
E;1;3;2;57.4;55.0;59.8
E;1;3;3;46.2;43.7;48.6
E;1;3;4;39.0;36.7;41.4
E;1;3;5;33.4;31.1;35.7
E;1;4;1;78.7;76.3;81.0
E;1;4;2;64.0;61.1;66.9
E;1;4;3;52.1;49.0;55.3
E;1;4;4;46.4;43.2;49.6
E;1;4;5;40.7;37.6;43.9
E;1;5;1;77.7;75.7;79.6
E;1;5;2;60.2;57.9;62.5
E;1;5;3;49.6;47.2;51.9
E;1;5;4;42.3;40.0;44.6
E;1;5;5;36.8;34.6;39.0
E;1;E;1;77.2;76.2;78.1
E;1;E;2;60.0;58.8;61.1
E;1;E;3;48.9;47.7;50.0
E;1;E;4;41.5;40.3;42.6
E;1;E;5;35.8;34.7;36.9
E;2;1;1;73.4;70.6;76.2
E;2;1;2;56.9;53.6;60.2
E;2;1;3;44.5;41.2;47.9
E;2;1;4;36.7;33.4;39.9
E;2;1;5;31.6;28.4;34.7
E;2;2;1;73.3;71.1;75.6
E;2;2;2;53.5;50.8;56.3
E;2;2;3;42.5;39.7;45.2
E;2;2;4;34.7;32.0;37.3
E;2;2;5;29.6;27.1;32.1
E;2;3;1;73.3;71.1;75.6
E;2;3;2;54.3;51.8;56.9
E;2;3;3;42.8;40.2;45.4
E;2;3;4;35.1;32.7;37.6
E;2;3;5;30.1;27.7;32.5
E;2;4;1;74.7;72.2;77.2
E;2;4;2;55.1;52.1;58.1
E;2;4;3;42.4;39.5;45.3
E;2;4;4;34.1;31.4;36.8
E;2;4;5;30.0;27.4;32.5
E;2;5;1;70.6;68.5;72.6
E;2;5;2;53.4;51.1;55.6
E;2;5;3;43.3;41.1;45.5
E;2;5;4;36.1;33.9;38.2
E;2;5;5;31.0;28.9;33.0
E;2;E;1;72.6;71.5;73.7
E;2;E;2;54.3;53.1;55.5
E;2;E;3;43.1;41.8;44.3
E;2;E;4;35.4;34.2;36.6
E;2;E;5;30.5;29.4;31.6
E;D;1;1;75.7;74.0;77.3
E;D;1;2;58.0;56.0;60.0
E;D;1;3;46.9;44.9;48.9
E;D;1;4;39.3;37.3;41.3
E;D;1;5;33.7;31.8;35.6
E;D;2;1;76.4;75.0;77.8
E;D;2;2;58.0;56.3;59.8
E;D;2;3;46.5;44.7;48.3
E;D;2;4;38.2;36.5;40.0
E;D;2;5;32.8;31.1;34.4
E;D;3;1;74.1;72.5;75.6
E;D;3;2;56.0;54.2;57.7
E;D;3;3;44.6;42.8;46.4
E;D;3;4;37.2;35.5;38.9
E;D;3;5;31.8;30.2;33.5
E;D;4;1;76.6;74.8;78.3
E;D;4;2;59.3;57.2;61.5
E;D;4;3;47.0;44.8;49.2
E;D;4;4;40.0;37.8;42.1
E;D;4;5;35.1;33.0;37.1
E;D;5;1;74.0;72.6;75.4
E;D;5;2;56.7;55.1;58.3
E;D;5;3;46.3;44.7;48.0
E;D;5;4;39.1;37.5;40.7
E;D;5;5;33.8;32.3;35.3
E;D;E;1;75.1;74.3;75.8
E;D;E;2;57.4;56.5;58.2
E;D;E;3;46.2;45.3;47.1
E;D;E;4;38.7;37.8;39.5
E;D;E;5;33.4;32.5;34.2
