STATE,COUNTY,TRACT,BLOCK,GEOID,ORIGINAL_COUNT_OF_HUs,CURRENT_COUNT_OF_HUs,LOCAL_COUNT_OF_HUs,DIFFERENCE_IN_HUs,ORIGINAL_COUNT_OF_GQs,CURRENT_COUNT_OF_GQs,LOCAL_COUNT_OF_GQs,DIFFERENCE_IN_GQs
05,065,9604.00,1103,050659604001103,3,3,0,3,0,0,0,0
05,065,9604.00,1110,050659604001110,0,0,0,0,0,0,0,0
05,065,9604.00,1126,050659604001126,0,0,0,0,0,0,0,0
05,065,9604.00,1127,050659604001127,22,22,0,22,0,0,0,0
05,065,9604.00,1128,050659604001128,0,0,0,0,0,0,0,0
05,065,9604.00,1129,050659604001129,2,2,0,2,0,0,0,0
05,065,9604.00,1130,050659604001130,0,0,0,0,0,0,0,0
05,065,9604.00,1131,050659604001131,0,0,0,0,0,0,0,0
05,065,9604.00,1133,050659604001133,0,0,0,0,0,0,0,0
05,065,9604.00,1134,050659604001134,3,3,0,3,0,0,0,0
05,065,9604.00,1135,050659604001135,6,6,0,6,0,0,0,0
05,065,9604.00,1136,050659604001136,5,5,0,5,0,0,0,0
05,065,9604.00,1137,050659604001137,4,4,0,4,0,0,0,0
05,065,9604.00,1139,050659604001139,0,0,0,0,0,0,0,0
05,065,9604.00,1140,050659604001140,0,0,0,0,0,0,0,0
05,065,9604.00,1142,050659604001142,0,0,0,0,0,0,0,0
05,065,9604.00,1144,050659604001144,1,1,0,1,0,0,0,0
05,065,9604.00,1148,050659604001148,1,1,0,1,0,0,0,0
05,065,9604.00,1156,050659604001156,5,5,0,5,0,0,0,0
05,065,9604.00,1157,050659604001157,8,8,0,8,0,0,0,0
05,065,9604.00,1158,050659604001158,3,3,0,3,0,0,0,0
05,065,9604.00,1159,050659604001159,0,0,0,0,0,0,0,0
05,065,9604.00,1160,050659604001160,12,12,0,12,0,0,0,0
05,065,9604.00,1162,050659604001162,0,0,0,0,0,0,0,0
05,065,9604.00,1163,050659604001163,0,0,0,0,0,0,0,0
05,065,9604.00,1165,050659604001165,3,3,0,3,0,0,0,0
05,065,9604.00,1166,050659604001166,0,0,0,0,0,0,0,0
05,065,9604.00,1186,050659604001186,0,0,0,0,0,0,0,0
05,065,9604.00,1190,050659604001190,4,4,0,4,0,0,0,0
05,065,9604.00,1191,050659604001191,19,19,0,19,0,0,0,0
05,065,9604.00,1192,050659604001192,2,2,0,2,0,0,0,0
05,065,9604.00,1193,050659604001193,0,0,0,0,0,0,0,0
05,065,9604.00,1194,050659604001194,0,0,0,0,0,0,0,0
05,065,9604.00,1212,050659604001212,0,0,0,0,0,0,0,0
05,065,9604.00,1214,050659604001214,0,0,0,0,0,0,0,0
05,065,9604.00,1215,050659604001215,1,1,0,1,0,0,0,0
05,065,9604.00,1216,050659604001216,3,3,0,3,0,0,0,0
05,065,9604.00,1217,050659604001217,0,0,0,0,0,0,0,0
05,065,9604.00,1218,050659604001218,1,1,0,1,0,0,0,0
05,065,9604.00,1219,050659604001219,0,0,0,0,0,0,0,0
05,065,9604.00,1220,050659604001220,17,17,0,17,0,0,0,0
05,065,9604.00,1221,050659604001221,9,9,0,9,0,0,0,0
05,065,9604.00,1222,050659604001222,14,14,0,14,0,0,0,0
05,065,9604.00,1223,050659604001223,0,0,0,0,0,0,0,0
05,065,9604.00,1224,050659604001224,1,1,0,1,0,0,0,0
05,065,9604.00,1228,050659604001228,1,1,0,1,0,0,0,0
05,065,9604.00,1235,050659604001235,32,32,0,32,0,0,0,0
05,065,9604.00,1236,050659604001236,0,0,0,0,0,0,0,0
05,065,9604.00,1237,050659604001237,18,18,0,18,0,0,0,0
05,065,9604.00,1239,050659604001239,4,4,0,4,0,0,0,0
05,065,9604.00,1240,050659604001240,7,7,0,7,0,0,0,0
05,065,9604.00,1241,050659604001241,10,10,0,10,0,0,0,0
05,065,9604.00,1242,050659604001242,1,1,0,1,0,0,0,0
,,,,Unable to Geocode,0,0,0,0,0,0,0,0
,,,,TOTAL,222,222,0,222,0,0,0,0
