STATE,COUNTY,TRACT,BLOCK,GEOID,ORIGINAL_COUNT_OF_HUs,CURRENT_COUNT_OF_HUs,LOCAL_COUNT_OF_HUs,DIFFERENCE_IN_HUs,ORIGINAL_COUNT_OF_GQs,CURRENT_COUNT_OF_GQs,LOCAL_COUNT_OF_GQs,DIFFERENCE_IN_GQs
42,081,0107.00,1000,420810107001000,1,1,0,1,0,0,0,0
42,081,0107.00,1001,420810107001001,12,12,0,12,0,0,0,0
42,081,0107.00,1016,420810107001016,10,10,0,10,0,0,0,0
42,081,0107.00,1017,420810107001017,29,29,0,29,0,0,0,0
42,081,0107.00,1018,420810107001018,11,11,0,11,0,0,0,0
42,081,0107.00,1019,420810107001019,0,0,0,0,0,0,0,0
42,081,0107.00,1020,420810107001020,0,0,0,0,0,0,0,0
42,081,0107.00,1021,420810107001021,13,13,0,13,0,0,0,0
42,081,0107.00,1025,420810107001025,14,14,0,14,0,0,0,0
42,081,0107.00,1026,420810107001026,0,0,0,0,0,0,0,0
42,081,0107.00,1027,420810107001027,13,13,0,13,0,0,0,0
42,081,0107.00,1036,420810107001036,17,17,0,17,0,0,0,0
42,081,0107.00,1043,420810107001043,23,23,0,23,0,0,0,0
42,081,0107.00,1050,420810107001050,12,12,0,12,0,0,0,0
42,081,0107.00,1051,420810107001051,1,1,0,1,0,0,0,0
42,081,0107.00,1052,420810107001052,4,4,0,4,0,0,0,0
42,081,0107.00,1053,420810107001053,0,0,0,0,0,0,0,0
42,081,0107.00,1054,420810107001054,10,10,0,10,0,0,0,0
42,081,0107.00,1055,420810107001055,0,0,0,0,0,0,0,0
42,081,0107.00,1056,420810107001056,11,11,0,11,0,0,0,0
42,081,0107.00,1057,420810107001057,1,1,0,1,0,0,0,0
42,081,0107.00,2025,420810107002025,0,0,0,0,0,0,0,0
42,081,0107.00,2026,420810107002026,0,0,0,0,0,0,0,0
42,081,0107.00,2027,420810107002027,1,1,0,1,0,0,0,0
42,081,0107.00,2028,420810107002028,11,11,0,11,0,0,0,0
42,081,0107.00,2030,420810107002030,45,45,0,45,0,0,0,0
42,081,0107.00,2031,420810107002031,0,0,0,0,0,0,0,0
42,081,0107.00,2032,420810107002032,0,0,0,0,0,0,0,0
42,081,0107.00,2033,420810107002033,3,3,0,3,0,0,0,0
42,081,0107.00,2034,420810107002034,2,2,0,2,0,0,0,0
42,081,0107.00,2037,420810107002037,22,22,0,22,0,0,0,0
