STATE,COUNTY,TRACT,BLOCK,GEOID,ORIGINAL_COUNT_OF_HUs,CURRENT_COUNT_OF_HUs,LOCAL_COUNT_OF_HUs,DIFFERENCE_IN_HUs,ORIGINAL_COUNT_OF_GQs,CURRENT_COUNT_OF_GQs,LOCAL_COUNT_OF_GQs,DIFFERENCE_IN_GQs
42,125,7210.00,2000,421257210002000,19,19,0,19,0,0,0,0
42,125,7210.00,2001,421257210002001,21,21,0,21,0,0,0,0
42,125,7210.00,2002,421257210002002,0,0,0,0,0,0,0,0
42,125,7210.00,2003,421257210002003,1,1,0,1,0,0,0,0
42,125,7210.00,2004,421257210002004,2,2,0,2,0,0,0,0
42,125,7210.00,2005,421257210002005,1,1,0,1,0,0,0,0
42,125,7210.00,2006,421257210002006,10,10,0,10,0,0,0,0
42,125,7210.00,2007,421257210002007,19,19,0,19,0,0,0,0
42,125,7210.00,2008,421257210002008,3,3,0,3,0,0,0,0
42,125,7210.00,2009,421257210002009,0,0,0,0,0,0,0,0
42,125,7210.00,2010,421257210002010,0,0,0,0,0,0,0,0
42,125,7210.00,2011,421257210002011,3,3,0,3,0,0,0,0
42,125,7210.00,2012,421257210002012,2,2,0,2,0,0,0,0
42,125,7210.00,2013,421257210002013,41,41,0,41,0,0,0,0
42,125,7210.00,2014,421257210002014,2,2,0,2,0,0,0,0
42,125,7210.00,2015,421257210002015,3,3,0,3,0,0,0,0
42,125,7210.00,2016,421257210002016,4,4,0,4,0,0,0,0
42,125,7210.00,2017,421257210002017,3,3,0,3,0,0,0,0
42,125,7210.00,2018,421257210002018,4,4,0,4,0,0,0,0
42,125,7210.00,2019,421257210002019,2,2,0,2,0,0,0,0
42,125,7210.00,2020,421257210002020,0,0,0,0,0,0,0,0
42,125,7210.00,2022,421257210002022,7,7,0,7,0,0,0,0
42,125,7210.00,2023,421257210002023,3,3,0,3,0,0,0,0
42,125,7210.00,2025,421257210002025,0,0,0,0,0,0,0,0
42,125,7210.00,2026,421257210002026,3,3,0,3,0,0,0,0
42,125,7210.00,2027,421257210002027,34,34,0,34,0,0,0,0
42,125,7210.00,2028,421257210002028,7,7,0,7,0,0,0,0
42,125,7210.00,2029,421257210002029,4,4,0,4,0,0,0,0
42,125,7210.00,2030,421257210002030,0,0,0,0,0,0,0,0
42,125,7210.00,2031,421257210002031,0,0,0,0,0,0,0,0
42,125,7210.00,2033,421257210002033,2,2,0,2,0,0,0,0
42,125,7210.00,2034,421257210002034,0,0,0,0,0,0,0,0
42,125,7210.00,2035,421257210002035,0,0,0,0,0,0,0,0
42,125,7210.00,2036,421257210002036,1,1,0,1,0,0,0,0
42,125,7210.00,2037,421257210002037,3,3,0,3,0,0,0,0
42,125,7210.00,2038,421257210002038,0,0,0,0,0,0,0,0
42,125,7210.00,2039,421257210002039,1,1,0,1,0,0,0,0
42,125,7210.00,2040,421257210002040,7,7,0,7,0,0,0,0
42,125,7210.00,2041,421257210002041,0,0,0,0,0,0,0,0
42,125,7210.00,2042,421257210002042,11,11,0,11,0,0,0,0
42,125,7210.00,2043,421257210002043,1,1,0,1,0,0,0,0
42,125,7210.00,2044,421257210002044,18,18,0,18,0,0,0,0
42,125,7210.00,2045,421257210002045,4,4,0,4,0,0,0,0
42,125,7210.00,2046,421257210002046,13,13,0,13,0,0,0,0
42,125,7210.00,2047,421257210002047,0,0,0,0,0,0,0,0
42,125,7210.00,2048,421257210002048,3,3,0,3,0,0,0,0
42,125,7210.00,2049,421257210002049,0,0,0,0,0,0,0,0
42,125,7210.00,2050,421257210002050,14,14,0,14,0,0,0,0
42,125,7210.00,2051,421257210002051,4,4,0,4,0,0,0,0
42,125,7210.00,2052,421257210002052,7,7,0,7,0,0,0,0
42,125,7210.00,2053,421257210002053,1,1,0,1,0,0,0,0
42,125,7210.00,2054,421257210002054,13,13,0,13,0,0,0,0
42,125,7210.00,2055,421257210002055,24,24,0,24,0,0,0,0
42,125,7210.00,2056,421257210002056,18,18,0,18,0,0,0,0
42,125,7210.00,2057,421257210002057,19,19,0,19,0,0,0,0
42,125,7210.00,2058,421257210002058,1,1,0,1,0,0,0,0
42,125,7210.00,2059,421257210002059,4,4,0,4,0,0,0,0
42,125,7210.00,2060,421257210002060,22,22,0,22,0,0,0,0
42,125,7210.00,2061,421257210002061,19,19,0,19,0,0,0,0
42,125,7210.00,2062,421257210002062,7,7,0,7,0,0,0,0
42,125,7210.00,2063,421257210002063,7,7,0,7,0,0,0,0
42,125,7210.00,2064,421257210002064,0,0,0,0,0,0,0,0
42,125,7210.00,2065,421257210002065,0,0,0,0,0,0,0,0
42,125,7210.00,2066,421257210002066,3,3,0,3,0,0,0,0
42,125,7210.00,2067,421257210002067,3,3,0,3,0,0,0,0
42,125,7210.00,2068,421257210002068,0,0,0,0,0,0,0,0
42,125,7210.00,2069,421257210002069,0,0,0,0,0,0,0,0
42,125,7210.00,2070,421257210002070,0,0,0,0,0,0,0,0
42,125,7210.00,2071,421257210002071,2,2,0,2,0,0,0,0
42,125,7210.00,2072,421257210002072,1,1,0,1,0,0,0,0
42,125,7210.00,2073,421257210002073,0,0,0,0,0,0,0,0
42,125,7210.00,2074,421257210002074,7,7,0,7,0,0,0,0
42,125,7210.00,2075,421257210002075,2,2,0,2,0,0,0,0
42,125,7210.00,2076,421257210002076,2,2,0,2,0,0,0,0
42,125,7210.00,2077,421257210002077,11,11,0,11,0,0,0,0
42,125,7210.00,2078,421257210002078,4,4,0,4,0,0,0,0
42,125,7210.00,2079,421257210002079,8,8,0,8,0,0,0,0
42,125,7210.00,2081,421257210002081,11,11,0,11,0,0,0,0
42,125,7210.00,2082,421257210002082,10,10,0,10,0,0,0,0
42,125,7210.00,2083,421257210002083,0,0,0,0,0,0,0,0
42,125,7210.00,2084,421257210002084,9,9,0,9,0,0,0,0
42,125,7210.00,2085,421257210002085,8,8,0,8,0,0,0,0
42,125,7210.00,2086,421257210002086,2,2,0,2,0,0,0,0
42,125,7210.00,2087,421257210002087,8,8,0,8,0,0,0,0
42,125,7210.00,2088,421257210002088,1,1,0,1,0,0,0,0
42,125,7210.00,2089,421257210002089,0,0,0,0,0,0,0,0
42,125,7210.00,2090,421257210002090,28,28,0,28,0,0,0,0
42,125,7210.00,2091,421257210002091,1,1,0,1,0,0,0,0
42,125,7210.00,2092,421257210002092,15,15,0,15,0,0,0,0
42,125,7210.00,2093,421257210002093,0,0,0,0,0,0,0,0
42,125,7210.00,2094,421257210002094,5,5,0,5,0,0,0,0
42,125,7210.00,2095,421257210002095,7,7,0,7,0,0,0,0
42,125,7210.00,2096,421257210002096,4,4,0,4,0,0,0,0
42,125,7210.00,2097,421257210002097,8,8,0,8,0,0,0,0
42,125,7210.00,2099,421257210002099,2,2,0,2,0,0,0,0
42,125,7210.00,2100,421257210002100,0,0,0,0,0,0,0,0
42,125,7210.00,2101,421257210002101,0,0,0,0,0,0,0,0
42,125,7210.00,2102,421257210002102,1,1,0,1,0,0,0,0
42,125,7210.00,2103,421257210002103,10,10,0,10,0,0,0,0
42,125,7210.00,2104,421257210002104,6,6,0,6,0,0,0,0
42,125,7210.00,2105,421257210002105,0,0,0,0,0,0,0,0
42,125,7210.00,2106,421257210002106,0,0,0,0,0,0,0,0
42,125,7210.00,2107,421257210002107,0,0,0,0,0,0,0,0
42,125,7210.00,2108,421257210002108,3,3,0,3,0,0,0,0
42,125,7210.00,2109,421257210002109,10,10,0,10,0,0,0,0
42,125,7210.00,2110,421257210002110,20,20,0,20,0,0,0,0
42,125,7210.00,2111,421257210002111,10,10,0,10,0,0,0,0
42,125,7210.00,2112,421257210002112,2,2,0,2,0,0,0,0
42,125,7210.00,2113,421257210002113,1,1,0,1,0,0,0,0
42,125,7210.00,2114,421257210002114,6,6,0,6,0,0,0,0
42,125,7210.00,2115,421257210002115,7,7,0,7,0,0,0,0
42,125,7210.00,2116,421257210002116,1,1,0,1,0,0,0,0
42,125,7210.00,2117,421257210002117,1,1,0,1,0,0,0,0
42,125,7210.00,2118,421257210002118,31,31,0,31,0,0,0,0
42,125,7210.00,2119,421257210002119,5,5,0,5,0,0,0,0
42,125,7210.00,2120,421257210002120,2,2,0,2,0,0,0,0
42,125,7210.00,2121,421257210002121,10,10,0,10,0,0,0,0
42,125,7210.00,2122,421257210002122,4,4,0,4,0,0,0,0
42,125,7210.00,2123,421257210002123,7,7,0,7,0,0,0,0
42,125,7210.00,2125,421257210002125,2,2,0,2,0,0,0,0
,,,,Unable to Geocode,0,0,0,0,0,0,0,0
,,,,TOTAL,723,723,0,723,0,0,0,0
