STATE,COUNTY,TRACT,BLOCK,GEOID,ORIGINAL_COUNT_OF_HUs,CURRENT_COUNT_OF_HUs,LOCAL_COUNT_OF_HUs,DIFFERENCE_IN_HUs,ORIGINAL_COUNT_OF_GQs,CURRENT_COUNT_OF_GQs,LOCAL_COUNT_OF_GQs,DIFFERENCE_IN_GQs
42,085,0319.00,2000,420850319002000,0,0,0,0,0,0,0,0
42,085,0319.00,2001,420850319002001,76,76,0,76,0,0,0,0
42,085,0319.00,2002,420850319002002,19,19,0,19,0,0,0,0
42,085,0319.00,2003,420850319002003,18,18,0,18,0,0,0,0
42,085,0319.00,2004,420850319002004,10,10,0,10,0,0,0,0
42,085,0319.00,2005,420850319002005,57,57,0,57,0,0,0,0
42,085,0319.00,2006,420850319002006,49,49,0,49,0,0,0,0
42,085,0319.00,2007,420850319002007,20,20,0,20,0,0,0,0
42,085,0319.00,2008,420850319002008,78,78,0,78,0,0,0,0
42,085,0319.00,2009,420850319002009,18,18,0,18,0,0,0,0
42,085,0319.00,2010,420850319002010,24,24,0,24,0,0,0,0
42,085,0319.00,2011,420850319002011,1,1,0,1,0,0,0,0
42,085,0319.00,2012,420850319002012,15,15,0,15,0,0,0,0
42,085,0319.00,2013,420850319002013,3,3,0,3,0,0,0,0
42,085,0319.00,2014,420850319002014,1,1,0,1,0,0,0,0
42,085,0319.00,2015,420850319002015,0,0,0,0,0,0,0,0
42,085,0319.00,2016,420850319002016,1,1,0,1,0,0,0,0
42,085,0319.00,2017,420850319002017,1,1,0,1,0,0,0,0
42,085,0319.00,2018,420850319002018,17,17,0,17,0,0,0,0
42,085,0319.00,2019,420850319002019,0,0,0,0,0,0,0,0
42,085,0319.00,2020,420850319002020,0,0,0,0,0,0,0,0
42,085,0319.00,2021,420850319002021,0,0,0,0,0,0,0,0
42,085,0319.00,2022,420850319002022,0,0,0,0,0,0,0,0
42,085,0319.00,2023,420850319002023,0,0,0,0,0,0,0,0
42,085,0319.00,2024,420850319002024,0,0,0,0,0,0,0,0
42,085,0319.00,2025,420850319002025,0,0,0,0,0,0,0,0
42,085,0319.00,2026,420850319002026,0,0,0,0,0,0,0,0
