図表5-6-1-3　地上系民間基幹放送事業者の広告収入の推移,,,,,,,,,
,,,,,,,,,
,,,,,,,,,（単位：億円）
,平成17,18,19,20,21,22,23,24,25(年)
地上テレビジョン放送広告収入,"20,411","20,161","19,981","19,092","17,139","17,321","17,237",17757,"17,913"
地上ラジオ放送広告収入,"1,778","1,744","1,671","1,549","1,370","1,299","1,247","1,246","1,243"
,"22,189","21,905","21,652","20,641","18,509","18,620","18,484","19,003","19,156"
※地上テレビジョン広告費、地上ラジオ広告費を民間地上放送事業者の広告収入とした。,,,,,,,,,
"電通「日本の広告費」により作成
http://www.dentsu.co.jp/books/ad_cost/index.html",,,,,,,,,
