STATE,COUNTY,TRACT,BLOCK,GEOID,ORIGINAL_COUNT_OF_HUs,CURRENT_COUNT_OF_HUs,LOCAL_COUNT_OF_HUs,DIFFERENCE_IN_HUs,ORIGINAL_COUNT_OF_GQs,CURRENT_COUNT_OF_GQs,LOCAL_COUNT_OF_GQs,DIFFERENCE_IN_GQs
02,198,0001.00,3034,021980001003034,0,0,0,0,0,0,0,0
02,198,0001.00,3354,021980001003354,0,0,0,0,0,0,0,0
02,198,0001.00,3356,021980001003356,13,13,0,13,0,0,0,0
02,198,0001.00,3357,021980001003357,17,17,0,17,1,1,0,1
02,198,0001.00,3380,021980001003380,0,0,0,0,0,0,0,0
02,198,0001.00,3381,021980001003381,2,2,0,2,0,0,0,0
02,198,0001.00,3526,021980001003526,35,35,0,35,0,0,0,0
02,198,0001.00,3527,021980001003527,2,2,0,2,0,0,0,0
02,198,0001.00,3528,021980001003528,8,8,0,8,0,0,0,0
02,198,0001.00,3529,021980001003529,2,2,0,2,0,0,0,0
02,198,0001.00,3530,021980001003530,3,3,0,3,0,0,0,0
02,198,0001.00,3531,021980001003531,12,12,0,12,0,0,0,0
02,198,0001.00,3532,021980001003532,8,8,0,8,0,0,0,0
02,198,0001.00,3533,021980001003533,0,0,0,0,0,0,0,0
02,198,0001.00,3536,021980001003536,7,7,0,7,0,0,0,0
02,198,0001.00,3537,021980001003537,13,13,0,13,0,0,0,0
02,198,0001.00,3538,021980001003538,5,5,0,5,0,0,0,0
02,198,0001.00,3539,021980001003539,4,4,0,4,0,0,0,0
,,,,Unable to Geocode,0,0,0,0,0,0,0,0
,,,,TOTAL,131,131,0,131,1,1,0,1
