STATE,COUNTY,TRACT,BLOCK,GEOID,ORIGINAL_COUNT_OF_HUs,CURRENT_COUNT_OF_HUs,LOCAL_COUNT_OF_HUs,DIFFERENCE_IN_HUs,ORIGINAL_COUNT_OF_GQs,CURRENT_COUNT_OF_GQs,LOCAL_COUNT_OF_GQs,DIFFERENCE_IN_GQs
27,121,9703.00,1118,271219703001118,0,0,0,0,0,0,0,0
27,121,9703.00,1119,271219703001119,12,12,0,12,0,0,0,0
27,121,9703.00,1120,271219703001120,0,0,0,0,0,0,0,0
27,121,9703.00,1121,271219703001121,10,10,0,10,0,0,0,0
27,121,9703.00,1124,271219703001124,3,3,0,3,0,0,0,0
27,121,9703.00,1125,271219703001125,0,0,0,0,0,0,0,0
27,121,9703.00,1127,271219703001127,1,1,0,1,0,0,0,0
27,121,9703.00,1129,271219703001129,16,16,0,16,0,0,0,0
27,121,9703.00,1130,271219703001130,3,3,0,3,0,0,0,0
27,121,9703.00,1152,271219703001152,7,7,0,7,0,0,0,0
27,121,9703.00,1153,271219703001153,8,8,0,8,0,0,0,0
27,121,9703.00,1154,271219703001154,4,4,0,4,0,0,0,0
27,121,9703.00,1155,271219703001155,5,5,0,5,0,0,0,0
27,121,9703.00,1156,271219703001156,6,6,0,6,0,0,0,0
27,121,9703.00,1157,271219703001157,7,7,0,7,0,0,0,0
27,121,9703.00,1158,271219703001158,7,7,0,7,0,0,0,0
27,121,9703.00,1159,271219703001159,4,4,0,4,0,0,0,0
27,121,9703.00,1160,271219703001160,5,5,0,5,0,0,0,0
27,121,9703.00,1161,271219703001161,6,6,0,6,0,0,0,0
27,121,9703.00,1162,271219703001162,19,19,0,19,0,0,0,0
27,121,9703.00,1163,271219703001163,2,2,0,2,0,0,0,0
27,121,9703.00,1164,271219703001164,4,4,0,4,0,0,0,0
27,121,9703.00,1165,271219703001165,0,0,0,0,0,0,0,0
27,121,9703.00,1166,271219703001166,0,0,0,0,0,0,0,0
27,121,9703.00,1167,271219703001167,1,1,0,1,0,0,0,0
27,121,9703.00,1168,271219703001168,2,2,0,2,0,0,0,0
27,121,9703.00,1169,271219703001169,2,2,0,2,0,0,0,0
27,121,9703.00,1170,271219703001170,1,1,0,1,0,0,0,0
27,121,9703.00,1171,271219703001171,2,2,0,2,0,0,0,0
27,121,9703.00,1172,271219703001172,7,7,0,7,0,0,0,0
27,121,9703.00,1173,271219703001173,3,3,0,3,0,0,0,0
27,121,9703.00,1174,271219703001174,6,6,0,6,0,0,0,0
27,121,9703.00,1175,271219703001175,0,0,0,0,0,0,0,0
27,121,9703.00,1176,271219703001176,2,2,0,2,0,0,0,0
27,121,9703.00,1181,271219703001181,3,3,0,3,0,0,0,0
,,,,Unable to Geocode,0,0,0,0,0,0,0,0
,,,,TOTAL,158,158,0,158,0,0,0,0
