STATE,COUNTY,TRACT,BLOCK,GEOID,ORIGINAL_COUNT_OF_HUs,CURRENT_COUNT_OF_HUs,LOCAL_COUNT_OF_HUs,DIFFERENCE_IN_HUs,ORIGINAL_COUNT_OF_GQs,CURRENT_COUNT_OF_GQs,LOCAL_COUNT_OF_GQs,DIFFERENCE_IN_GQs
55,137,9604.00,3050,551379604003050,0,0,0,0,0,0,0,0
55,137,9604.00,3051,551379604003051,0,0,0,0,0,0,0,0
55,137,9604.00,3104,551379604003104,1,1,0,1,0,0,0,0
55,137,9604.00,3105,551379604003105,2,2,0,2,0,0,0,0
55,137,9604.00,3108,551379604003108,6,6,0,6,0,0,0,0
55,137,9604.00,3109,551379604003109,3,3,0,3,0,0,0,0
55,137,9604.00,3114,551379604003114,2,2,0,2,0,0,0,0
55,137,9606.00,1016,551379606001016,1,1,0,1,0,0,0,0
55,137,9606.00,1017,551379606001017,41,41,0,41,0,0,0,0
55,137,9606.00,1018,551379606001018,0,0,0,0,0,0,0,0
55,137,9606.00,1019,551379606001019,0,0,0,0,0,0,0,0
55,137,9606.00,1054,551379606001054,0,0,0,0,0,0,0,0
55,137,9606.00,1055,551379606001055,35,35,0,35,0,0,0,0
55,137,9606.00,1056,551379606001056,0,0,0,0,0,0,0,0
55,137,9606.00,1057,551379606001057,4,4,0,4,0,0,0,0
55,137,9606.00,1058,551379606001058,0,0,0,0,0,0,0,0
55,137,9606.00,1059,551379606001059,3,3,0,3,0,0,0,0
55,137,9606.00,1060,551379606001060,1,1,0,1,0,0,0,0
55,137,9606.00,2011,551379606002011,0,0,0,0,0,0,0,0
55,137,9606.00,2012,551379606002012,1,1,0,1,0,0,0,0
55,137,9606.00,2013,551379606002013,9,9,0,9,0,0,0,0
55,137,9606.00,2051,551379606002051,0,0,0,0,0,0,0,0
55,137,9608.00,1000,551379608001000,39,39,0,39,0,0,0,0
55,137,9608.00,1001,551379608001001,70,70,0,70,0,0,0,0
55,137,9608.00,1003,551379608001003,21,21,0,21,0,0,0,0
55,137,9608.00,1004,551379608001004,1,1,0,1,0,0,0,0
55,137,9608.00,1005,551379608001005,1,1,0,1,0,0,0,0
55,137,9608.00,1006,551379608001006,21,21,0,21,0,0,0,0
55,137,9608.00,1007,551379608001007,0,0,0,0,0,0,0,0
55,137,9608.00,1008,551379608001008,10,10,0,10,0,0,0,0
55,137,9608.00,1009,551379608001009,20,20,0,20,0,0,0,0
