STATE,COUNTY,TRACT,BLOCK,GEOID,ORIGINAL_COUNT_OF_HUs,CURRENT_COUNT_OF_HUs,LOCAL_COUNT_OF_HUs,DIFFERENCE_IN_HUs,ORIGINAL_COUNT_OF_GQs,CURRENT_COUNT_OF_GQs,LOCAL_COUNT_OF_GQs,DIFFERENCE_IN_GQs
55,115,1011.00,1039,551151011001039,1,1,0,1,0,0,0,0
55,115,1011.00,1040,551151011001040,8,8,0,8,0,0,0,0
55,115,1011.00,1041,551151011001041,0,0,0,0,0,0,0,0
55,115,1011.00,1042,551151011001042,0,0,0,0,0,0,0,0
55,115,1011.00,1043,551151011001043,8,8,0,8,0,0,0,0
55,115,1011.00,1044,551151011001044,2,2,0,2,0,0,0,0
55,115,1011.00,1045,551151011001045,3,3,0,3,0,0,0,0
55,115,1011.00,1050,551151011001050,6,6,0,6,0,0,0,0
55,115,1011.00,1051,551151011001051,1,1,0,1,0,0,0,0
55,115,1011.00,1052,551151011001052,1,1,0,1,0,0,0,0
55,115,1011.00,1053,551151011001053,0,0,0,0,0,0,0,0
55,115,1011.00,1054,551151011001054,1,1,0,1,0,0,0,0
55,115,1011.00,1055,551151011001055,0,0,0,0,0,0,0,0
55,115,1011.00,1057,551151011001057,11,11,0,11,0,0,0,0
55,115,1011.00,1058,551151011001058,0,0,0,0,0,0,0,0
55,115,1011.00,1059,551151011001059,1,1,0,1,0,0,0,0
55,115,1011.00,1061,551151011001061,0,0,0,0,0,0,0,0
55,115,1011.00,1062,551151011001062,0,0,0,0,0,0,0,0
55,115,1011.00,1063,551151011001063,1,1,0,1,0,0,0,0
55,115,1011.00,1068,551151011001068,16,16,0,16,0,0,0,0
55,115,1011.00,1069,551151011001069,0,0,0,0,0,0,0,0
55,115,1011.00,1070,551151011001070,3,3,0,3,0,0,0,0
55,115,1011.00,1071,551151011001071,0,0,0,0,0,0,0,0
55,115,1011.00,1072,551151011001072,0,0,0,0,0,0,0,0
55,115,1011.00,1105,551151011001105,1,1,0,1,0,0,0,0
55,115,1011.00,1106,551151011001106,10,10,0,10,0,0,0,0
55,115,1011.00,1107,551151011001107,18,18,0,18,0,0,0,0
55,115,1011.00,1108,551151011001108,1,1,0,1,0,0,0,0
55,115,1011.00,1109,551151011001109,2,2,0,2,0,0,0,0
55,115,1011.00,1116,551151011001116,13,13,0,13,0,0,0,0
55,115,1011.00,1117,551151011001117,2,2,0,2,0,0,0,0
55,115,1011.00,1118,551151011001118,5,5,0,5,0,0,0,0
55,115,1011.00,1119,551151011001119,1,1,0,1,0,0,0,0
55,115,1011.00,1120,551151011001120,6,6,0,6,0,0,0,0
55,115,1011.00,1121,551151011001121,4,4,0,4,0,0,0,0
55,115,1011.00,1122,551151011001122,21,21,0,21,0,0,0,0
55,115,1011.00,1123,551151011001123,17,17,0,17,0,0,0,0
55,115,1011.00,1124,551151011001124,1,1,0,1,0,0,0,0
55,115,1011.00,1125,551151011001125,0,0,0,0,0,0,0,0
55,115,1011.00,1126,551151011001126,11,11,0,11,0,0,0,0
55,115,1011.00,1127,551151011001127,16,16,0,16,0,0,0,0
55,115,1011.00,1128,551151011001128,8,8,0,8,0,0,0,0
55,115,1011.00,1129,551151011001129,3,3,0,3,0,0,0,0
55,115,1011.00,1130,551151011001130,7,7,0,7,0,0,0,0
55,115,1011.00,1137,551151011001137,0,0,0,0,0,0,0,0
55,115,1011.00,1138,551151011001138,1,1,0,1,0,0,0,0
55,115,1011.00,1139,551151011001139,0,0,0,0,0,0,0,0
55,115,1011.00,1141,551151011001141,6,6,0,6,0,0,0,0
55,115,1011.00,1142,551151011001142,0,0,0,0,0,0,0,0
55,115,1011.00,1143,551151011001143,2,2,0,2,0,0,0,0
55,115,1011.00,1147,551151011001147,2,2,0,2,0,0,0,0
55,115,1011.00,1148,551151011001148,0,0,0,0,0,0,0,0
55,115,1011.00,1158,551151011001158,0,0,0,0,0,0,0,0
,,,,Unable to Geocode,0,0,0,0,0,0,0,0
,,,,TOTAL,221,221,0,221,0,0,0,0
